otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0215	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.2797540160089029
Otu0224	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	3.415749231456423e-4	0	0	0.2797540160089029
Otu0235	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	0.0028639743556057697	0	0	0.2797540160089029
Otu0236	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.2797540160089029
Otu0239	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.0509997635250532e-4	0	0	0.2797540160089029
Otu0244	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	1.0509997635250532e-4	0	0	0.2797540160089029
Otu0249	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	3.678499172337686e-4	0	0	0.2797540160089029
Otu0250	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.2797540160089029
Otu0259	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.3137497044063165e-4	0	0	0.2797540160089029
Otu0268	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.57649964528758e-4	0	0	0.2797540160089029
Otu0281	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	2.3647494679313695e-4	0	0	0.2797540160089029
Otu0303	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.2797540160089029
Otu0306	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.2797540160089029
Otu0310	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.2797540160089029
Otu0314	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	2.3647494679313697e-4	0	0	0.2797540160089029
Otu0324	4.770525830258304	0.09206477117583882	2	Kruskal-Wallis rank sum test	0	8.889706333149408e-4	8.276623137759794e-4	0.2797540160089029
Otu0326	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.2797540160089029
Otu0331	5.05842151675486	0.07972191531674411	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	3.0654159769480714e-5	3.2186867757954754e-4	0.2797540160089029
Otu0332	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.2797540160089029
Otu0334	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.2797540160089029
Otu0336	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.3137497044063165e-4	0	0	0.2797540160089029
Otu0338	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.2797540160089029
Otu0341	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.2797540160089029
Otu0347	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.2797540160089029
Otu0355	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.0509997635250532e-4	0	0	0.2797540160089029
Otu0356	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0.2797540160089029
Otu0362	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	1.0509997635250532e-4	0	0	0.2797540160089029
Otu0368	4.210526315789484	0.12181361383661926	2	Kruskal-Wallis rank sum test	1.57649964528758e-4	0	0	0.2797540160089029
Otu0374	4.20000000000001	0.1224564282529813	2	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0.2797540160089029
