otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu1054	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu1074	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu1093	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu1108	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.3547202246840415
Otu1173	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu1202	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu1302	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu1337	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu1465	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	6.130831953896143e-5	0	0	0.3547202246840415
Otu1594	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu1615	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
Otu1815	2.500000000000019	0.28650479686018737	2	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0.3547202246840415
